wallet_id,anomaly_reason,aggregated_lp_score,total_deposit_all_time,sum_pool_total_score,diff_sum_agg,score_per_deposit
0x009f19daf77e153ca607043ea99236eaa88d50da,robust-z; ,208.72,204.70540317278824,447.0,238.28,1.0196115821321194
0x005f572aa75b7f89d1781668db2dbcc6bf1c8669,IQR; robust-z; ,342.0,182.41843333895028,342.0,0.0,1.8748105316995702
0x016aaa4f8061324f75bd585d1ae377238cef4186,zero_deposit; ,65.0,0.0,65.0,0.0,
0x00d1a56b5b9b1369c76376b26078a25df54b0000,IQR; robust-z; ,736.0,193.0866167088041,640.0,-96.0,3.811760817736887
0x0017d4580c983760d7d355cecadab756f119fd38,IQR; robust-z; ,238.85,114.8027571723381,281.0,42.150000000000006,2.0805249445485554
0x009f441f07226294f225cdfa10c272dce8017a58,zero_deposit; ,60.0,0.0,60.0,0.0,
0x00409fc839a2ec2e6d12305423d37cd011279c09,IQR; robust-z; ,630.0,230.0399194477411,630.0,0.0,2.7386551060896154
0x0098bc76ce35e5a5043b97b3a65d9765b4394c1f,IQR; robust-z; ,232.0,165.52131387873175,232.0,0.0,1.4016321799497888
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,zero_deposit; ,58.65,0.0,51.0,-7.649999999999999,
0x015aa3f2d7e70a70d1b06970e73372b3ba183403,IQR; robust-z; ,230.0,104.9852663792454,230.0,0.0,2.1907836016642124
0x011d8c920ca4b5d26617edc7b66e3514488cccd1,mismatch_sum_agg; ,194.18,77360.85346267483,810.0,615.8199999999999,0.002510055038284812
0x022ae31ff9e3e1b09e52c1a4a08b0a38fdf01bbc,IQR; robust-z; ,456.0,221.91108205561767,456.0,0.0,2.05487709660986
0x02062d31f0ab2557a6674d5702ce2ce0a1be9d05,zero_deposit; ,110.0,0.0,110.0,0.0,
0x022adb9a86242b97a688d1e602d7ced52e63a000,robust-z; ,368.9,422.2952218644054,434.0,65.10000000000002,0.8735594932174012
0x01c571f1611ab5f1fa17a1aab8a84efc6ae519c8,robust-z; ,360.4,403.73196095733147,424.0,63.60000000000002,0.8926714623866228
0x019f5ccfcd559d368148188fb693b4e6a89fd4f0,zero_deposit; ,48.0,0.0,48.0,0.0,
0x01f0e3f71c2aea6621c6e9949c177a07f86536d0,IQR; robust-z; ,305.0,149.65833215757843,305.0,0.0,2.0379754043955205
0x02317c852e30cc2afb87a2c8c2ad56385af83679,IQR; robust-z; ,252.45,123.40482188136264,297.0,44.55000000000001,2.045706125184453
0x02029ca38009dd37616b6c8478a38b6f123a6edc,IQR; robust-z; ,271.0,212.2460473762424,271.0,0.0,1.2768200084292085
0x012f2e37c566872d9490a06aae1527207b88c452,IQR; robust-z; ,246.5,123.3278863557047,290.0,43.5,1.9987369222321696
0x021502a71f1ed419b93b8ae96290a49221b0e945,zero_deposit; ,59.0,0.0,59.0,0.0,
0x01e3e38199f722375bba2fac1fec4f2320108ef5,IQR; robust-z; ,630.0,148.215574487316,630.0,0.0,4.250565449543322
0x01a2b6c749b778053bc81551e23675f0aee641dc,zero_deposit; ,62.1,0.0,54.0,-8.100000000000001,
